"ID","単語","品詞","意味","例文","訳文","発音記号","類義語","反意語","SVL"
"2378","lecture","名詞/動詞","講義","The professor’s lecture on ancient Egypt was fascinating.","教授の古代エジプトに関する講義は魅力的でした。","","","",""
"2379","venture","名詞/動詞","ベンチャー","She started a new venture in the fashion industry.","彼女はファッション業界で新しい事業を開始しました。","","","",""
"2380","compound","名詞/動詞","化合物","Water is a compound made of hydrogen and oxygen.","水は、水素と酸素から成る化合物です。","","","",""
"2381","rescue","名詞/動詞","救援","The lifeguard was quick to rescue the struggling swimmer.","ライフガードは、苦しむ泳ぎ手を迅速に救助しました。","","","",""
"2382","mess","名詞","混乱","Don’t leave your room in such a mess.","部屋をこんなに散らかしておかないでください。","","","",""
"2383","preference","名詞","好み","Given a choice, my preference is chocolate ice cream.","選ぶなら、私の好みはチョコレートアイスクリームです。","","","",""
"2384","comprehensive","形容詞","包括的な","The report provides a comprehensive overview of the topic.","その報告書は、トピックに関する包括的な概要を提供しています。","","","",""
"2385","incentive","名詞","インセンティブ","The bonus served as an incentive for employees to work harder.","ボーナスは、従業員がもっと一生懸命働くための奨励となりました。","","","",""
"2386","league","名詞","同盟","He aspires to play in the major league someday.","彼はいつかメジャーリーグでプレイすることを目指しています。","","","",""
"2387","dialog","名詞","ダイアログ","The dialog between the characters was witty and entertaining.","キャラクター間の対話は機知に富んでおり、楽しいものでした。","","","",""
"2388","cream","名詞","クリーム","She added cream to her coffee.","彼女はコーヒーにクリームを追加しました。","","","",""
"2389","rapid","形容詞","急速な","The company saw rapid growth in its first year.","その会社は、創業1年目に急成長しました。","","","",""
"2390","cancel","動詞","キャンセル","Due to bad weather, they had to cancel the event.","悪天候のため、彼らはイベントをキャンセルしなければなりませんでした。","","","",""
"2391","regret","名詞/動詞","後悔","I regret not visiting my grandparents more often.","もっと頻繁に祖父母を訪問しなかったことを後悔しています。","","","",""
"2392","dismiss","動詞","却下する","The teacher had to dismiss the class early due to an emergency.","緊急事態のため、先生は早めに授業を解散させる必要がありました。","","","",""
"2393","margin","名詞","マージン","The margin of the book had notes scribbled on it.","その本の余白には、走り書きのメモが書かれていました。","","","",""
"2394","beneath","前置詞","下に","The treasure was buried beneath the old tree.","その宝物は、古い木の下に埋められていました。","","","",""
"2395","opponent","名詞","対戦相手","In the finals, her opponent was the top-seeded player.","eeded player. – 決勝戦で彼女の対戦相手は、トップシードの選手でした。","","","",""
"2396","resist","動詞","抵抗する","It’s hard to resist a slice of chocolate cake.","チョコレートケーキの一切れを我慢するのは難しい。","","","",""
"2397","capability","名詞","能力","The new software has the capability to analyze data faster.","新しいソフトウェアは、データをより速く分析する能力があります。","","","",""
"2398","absolute","形容詞","絶対","She had absolute trust in her friend’s judgment.","彼女は友人の判断を絶対に信頼していました。","","","",""
"2399","correspond","動詞","対応する","His actions don’t correspond with his words.","彼の行動は彼の言葉と一致していません。","","","",""
"2400","stroke","名詞","脳卒中","After a long day, she gave her cat a gentle stroke.","長い一日の後、彼女は彼女の猫を優しく撫でました。","","","",""
"2401","dare","動詞","あえて","I wouldn’t dare go into that haunted house.","私はそのお化け屋敷に入る勇気はありません。","","","",""
"2402","barrier","名詞","バリア","Language should not be a barrier to understanding.","言語は理解の障壁となるべきではありません。","","","",""
"2403","rid","動詞","取り除く","She wanted to rid her garden of weeds.","彼女は庭の雑草を取り除きたかった。","","","",""
